(108, 175)
(276, 163)
(296, 72)
(546, 71)
(567, 164)
(563, 262)
(460, 270)
(379, 281)
(370, 361)
(416, 375)
(565, 373)
(785, 369)
(827, 363)
(857, 328)
(867, 267)
(854, 232)
(785, 213)
(737, 203)
(721, 151)
(719, 85)
(769, 65)
(865, 67)
(963, 68)
(1004, 86)
(1010, 147)
(1013, 360)
(986, 427)
(945, 464)
(862, 478)
(610, 476)
(522, 479)
(467, 485)
(459, 508)
(461, 576)
(496, 611)
(566, 621)
(796, 624)
(898, 621)
(919, 616)
(933, 563)
(1032, 568)
(1049, 590)
(1058, 691)
(1037, 719)
(917, 727)
(789, 733)
(561, 735)
(266, 732)
(220, 713)
(218, 647)
(248, 635)
(321, 625)
(332, 595)
(324, 485)
(302, 477)
(230, 477)
(221, 455)
(208, 305)
(118, 289)
(6, 292)
